experiment,subject,age,sex,condition,noise,trial_type,word,response
3,exp3_1,4.17,male,Plausible,Noisy,Exposure,bread_peanutbutter,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Exposure,knife_fork,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Exposure,shark_fish,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Exposure,wooden_blocks,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Exposure,cat_kittens,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Exposure,house_door,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Exposure,flowers_basket,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Exposure,book_table,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Test,shirt_die,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Test,beach_bowl,Implausible
3,exp3_1,4.17,male,Plausible,Noisy,Test,paper_pan,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Test,carrots_bees,Implausible
3,exp3_1,4.17,male,Plausible,Noisy,Test,fan_airport,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Test,coats_horses,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Test,worms_bags,Plausible
3,exp3_1,4.17,male,Plausible,Noisy,Test,marker_cup,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Exposure,bread_ketchup,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Exposure,shark_racecar,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Exposure,wooden_apples,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Exposure,book_plane,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Exposure,cat_hammers,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Exposure,knife_camel,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Exposure,flowers_donut,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Exposure,house_nose,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Test,carrots_bees,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Test,coats_horses,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Test,fan_airport,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Test,beach_bowl,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Test,paper_pan,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Test,shirt_die,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Test,marker_cup,Implausible
3,exp3_2,5.9,male,Implausible,Noisy,Test,worms_bags,Implausible
3,exp3_3,4.43,female,Plausible,Noisy,Exposure,flowers_basket,Implausible
3,exp3_3,4.43,female,Plausible,Noisy,Exposure,bread_peanutbutter,Implausible
3,exp3_3,4.43,female,Plausible,Noisy,Exposure,shark_fish,Plausible
3,exp3_3,4.43,female,Plausible,Noisy,Exposure,book_table,Implausible
3,exp3_3,4.43,female,Plausible,Noisy,Exposure,knife_fork,Plausible
3,exp3_3,4.43,female,Plausible,Noisy,Exposure,house_door,Implausible
3,exp3_3,4.43,female,Plausible,Noisy,Exposure,wooden_blocks,Plausible
3,exp3_3,4.43,female,Plausible,Noisy,Exposure,cat_kittens,Plausible
3,exp3_3,4.43,female,Plausible,Noisy,Test,shirt_die,Plausible
3,exp3_3,4.43,female,Plausible,Noisy,Test,marker_cup,Implausible
3,exp3_3,4.43,female,Plausible,Noisy,Test,beach_bowl,Plausible
3,exp3_3,4.43,female,Plausible,Noisy,Test,carrots_bees,Plausible
3,exp3_3,4.43,female,Plausible,Noisy,Test,paper_pan,Implausible
3,exp3_3,4.43,female,Plausible,Noisy,Test,worms_bags,Plausible
3,exp3_3,4.43,female,Plausible,Noisy,Test,fan_airport,Implausible
3,exp3_3,4.43,female,Plausible,Noisy,Test,coats_horses,Implausible
3,exp3_4,5.51,female,Plausible,Noisy,Exposure,house_door,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Exposure,bread_peanutbutter,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Exposure,wooden_blocks,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Exposure,book_table,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Exposure,flowers_basket,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Exposure,shark_fish,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Exposure,cat_kittens,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Exposure,knife_fork,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Test,carrots_bees,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Test,worms_bags,Implausible
3,exp3_4,5.51,female,Plausible,Noisy,Test,beach_bowl,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Test,paper_pan,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Test,marker_cup,Implausible
3,exp3_4,5.51,female,Plausible,Noisy,Test,fan_airport,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Test,coats_horses,Plausible
3,exp3_4,5.51,female,Plausible,Noisy,Test,shirt_die,Plausible
