subj_id,cond,dob,experiment date,time,gender,ethnicity,age,cat_kittens,book_table,shark_fish,wooden_blocks,flowers_basket,house_door,bread_peanutbutter,knife_fork,avg_correct,bugs,goats,cap,ball,tie,van,pen,avg_inference
HTFinal2_03,normal,7/21/10,1/22/15,1:58 PM,female,,4.51,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
HTFinal2_04,implausible,5/10/10,1/22/15,2:20 PM,male,,4.71,0,0,1,0,0,1,0,0,0.25,1,0,1,1,0,1,0,0.571428571
HTFinal2_06,implausible,7/28/10,1/22/15,3:20 PM,male,,4.49,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.285714286
HTFinal2_07,normal,4/23/10,1/23/15,1:50 PM,female,,4.76,1,0,0,0,0,0,0,0,0.13,1,0,1,1,1,1,1,0.857142857
HTFinal2_08,implausible,8/27/10,1/23/15,2:10 PM,female,,4.41,0,0,0,0,0,0,1,0,0.13,0,1,0,0,1,0,1,0.428571429
HTFinal2_09,normal,2/15/10,1/23/15,2:20 PM,male,,4.94,0,0,0,0,1,0,0,0,0.13,0,0,0,1,1,0,1,0.428571429
HTFinal2_10,implausible,8/9/10,1/23/15,2:30 PM,female,,4.46,0,0,0,0,1,1,0,0,0.25,0,1,0,0,0,0,1,0.285714286
HTFinal2_11,normal,10/29/10,1/23/15,15:25,female,,4.24,1,0,0,0,0,0,0,0,0.13,1,1,1,1,1,1,1,1
HTFinal2_12,implausible,6/26/10,1/23/15,3:35 PM,male,,4.58,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.428571429
HTFinal2_14,normal,2/25/10,1/27/15,1:57 PM,female,,4.92,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.571428571
HTFinal2_15,implausible,11/12/09,1/27/15,2:08 PM,male,,5.21,0,0,0,0,0,0,1,0,0.13,1,1,0,0,1,0,0,0.428571429
HTFinal2_16,normal,4/6/10,1/27/15,2:28 PM,male,,4.81,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0.857142857
HTFinal2_17,implausible,6/26/10,1/27/15,3:20 PM,male,,4.59,0,0,0,0,0,1,1,1,0.38,0,1,1,1,1,0,1,0.714285714
HTFinal2_18,normal,5/12/10,1/29/15,3:25 PM,female,,4.72,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.714285714
HTFinal2_21,normal,7/29/10,1/30/15,2:20 PM,male,,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.285714286
HTFinal2_22,normal,7/21/10,1/30/15,2:28 PM,female,,4.53,0,1,0,1,0,0,0,1,0.38,0,1,0,1,0,1,1,0.571428571
HTFinal2_23,implausible,5/14/10,1/30/15,3:36 PM,male,,4.72,0,0,0,1,0,0,0,1,0.25,0,0,0,1,1,0,1,0.428571429
HTFinal2_25,implausible,5/17/10,2/5/15,1:35 PM,male,,4.73,0,0,1,1,1,0,1,0,0.5,1,1,1,0,0,0,0,0.428571429
HTFinal2_26,normal,10/12/10,2/5/15,1:45 PM,male,,4.32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.285714286
HTFinal2_28,normal,12/16/10,2/5/15,2:08 PM,male,,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.142857143
HTFinal2_29,implausible,11/30/09,2/5/15,2:14 PM,female,,5.19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.428571429
HTFinal2_32,normal,5/21/10,2/5/15,3:20 PM,male,,4.72,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.571428571
HTFinal2_34,normal,10/16/10,2/10/15,2:10 PM,male,,4.32,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.428571429
HTFinal2_35,implausible,6/12/10,2/10/15,2:20 PM,male,,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTFinal2_36,normal,5/21/10,2/10/15,3:09 PM,male,,4.73,1,0,0,0,0,1,0,0,0.25,0,1,0,1,1,0,1,0.571428571
HTFinal2_37,implausible,11/23/10,2/12/15,1:15 PM,female,,4.22,0,0,0,0,0,1,0,0,0.13,0,0,1,0,1,0,1,0.428571429
HTFinal2_38,normal,3/30/10,2/12/15,1:54 PM,female,,4.88,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.714285714
HTFinal2_39,implausible,3/30/10,2/12/15,2:01 PM,female,,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.285714286
HTFinal2_40,normal,2/12/11,2/12/15,2:15 PM,female,,4,0,0,0,0,0,0,1,0,0.13,1,0,1,1,0,0,0,0.428571429
HTFinal2_41,implausible,10/21/09,2/13/15,1:44 PM,male,,5.32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.428571429
HTFinal2_44,normal,3/30/10,2/13/15,3:28 PM,male,,4.88,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0.571428571
HTFinal2_46,implausible,1/8/10,2/19/15,1:32 PM,male,,5.12,0,0,0,0,0,1,1,1,0.38,1,1,0,0,0,0,1,0.428571429
HTFinal2_47,implausible,1/21/11,2/19/15,2:00 PM,female,,4.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.428571429
HTFinal2_50,normal,11/17/09,2/19/15,3:15 PM,female,,5.26,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.857142857
HTFinal2_51,implausible,5/6/10,2/19/15,3:32 PM,female,,4.79,0,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0,1,0.142857143
HTFinal2_52,normal,7/24/10,2/20/15,3:25 PM,female,,4.58,0,0,0,1,1,0,1,0,0.38,1,1,1,1,1,1,1,1
HTFinal2_53,implausible,10/2/09,2/24/15,1:35 PM,female,,5.4,0,0,0,0,0,0,0,1,0.13,1,0,0,1,0,0,0,0.285714286
HTFinal2_54,normal,12/4/10,2/24/15,2:05 PM,female,,4.23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.571428571
HTFinal2_55,implausible,4/6/10,2/27/15,1:56 PM,female,,4.9,0,0,0,0,1,0,1,0,0.25,0,1,1,1,1,1,1,0.857142857
HTFinal2_56,normal,6/11/10,2/27/15,3:04 PM,female,,4.72,0,0,0,0,0,0,1,0,0.13,1,1,0,1,1,0,1,0.714285714
HTFinal2_57,implausible,10/28/10,2/27/15,3:12 PM,female,,4.34,0,0,0,0,1,1,0,0,0.25,1,0,1,0,0,0,0,0.285714286
HTFinal2_58,normal,9-Mar,3/3/15,1:40 PM,male,,4.99,0,0,0,1,0,1,0,0,0.25,1,1,0,1,0,1,1,0.714285714
HTFinal2_59,normal,5/12/10,3/3/15,2:02 PM,male,,4.81,0,0,0,0,0,0,1,0,0.13,1,0,1,1,1,0,1,0.714285714
